fecha,s1p1,s1p2,s1p3,s1p4,s1p5,s2p6,s2p7,s2p8,s2p9,s3p10,s3p11,s3p12,s3p13,s4p14
20/02/2025 21:59,Neutral,De acuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,Neutral,Neutral,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,De acuerdo,
20/03/2025 13:01,Neutral,En desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Neutral,De acuerdo,Neutral,De acuerdo,De acuerdo,Neutral,
18/01/2025 19:07,Totalmente de acuerdo,En desacuerdo,Neutral,En desacuerdo,En desacuerdo,Neutral,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,
16/02/2025 06:14,Totalmente de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,
10/01/2025 00:15,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,En desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,
24/05/2025 07:48,Neutral,En desacuerdo,De acuerdo,Neutral,Neutral,Neutral,Neutral,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,
31/01/2025 13:11,Neutral,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Neutral,En desacuerdo,De acuerdo,Neutral,Neutral,De acuerdo,De acuerdo,
02/04/2025 02:50,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,
15/05/2025 18:02,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral,
03/05/2025 17:52,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,Neutral,Totalmente en desacuerdo,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,
16/02/2025 12:50,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,Neutral,
25/01/2025 21:05,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,A veces parece injusto que el mismo producto suba tanto de un mes a otro.
18/06/2025 10:21,Totalmente de acuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,"Mi truco es simple, si un artículo que quiero aparece como ultimos disponibles, lo reviso en la mañana y en la tarde. Varias veces he visto cómo el precio baja por esas horas, seguramente para liquidar lo que queda. Aprovecho y compro rápido."
08/01/2025 22:47,Neutral,En desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,
05/01/2025 03:02,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,
03/01/2025 05:25,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,Neutral,
11/05/2025 06:29,De acuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Neutral,Neutral,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,
30/05/2025 07:14,Neutral,En desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Neutral,
21/06/2025 14:06,En desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,
03/02/2025 00:36,Neutral,Neutral,Totalmente de acuerdo,Neutral,En desacuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,
25/02/2025 18:58,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Totalmente en desacuerdo,Neutral,De acuerdo,Neutral,De acuerdo,De acuerdo,Neutral,
30/01/2025 13:45,De acuerdo,Neutral,En desacuerdo,Neutral,De acuerdo,Neutral,Neutral,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,
16/01/2025 15:36,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,
15/02/2025 17:15,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Neutral,En desacuerdo,Neutral,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Neutral,De acuerdo,
03/03/2025 05:12,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,En desacuerdo,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,
21/05/2025 15:08,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,
02/01/2025 18:47,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Neutral,En desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,
02/04/2025 13:49,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,De acuerdo,Neutral,
21/02/2025 16:41,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,Neutral,Neutral,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,
15/02/2025 04:53,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,
04/03/2025 21:36,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,De acuerdo,Neutral,Totalmente de acuerdo,
23/05/2025 12:05,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral,De acuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral,
06/01/2025 15:30,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,Neutral,Neutral,Neutral,De acuerdo,Neutral,Neutral,De acuerdo,Neutral,
28/05/2025 10:23,Totalmente de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,En desacuerdo,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,
26/02/2025 17:05,Neutral,De acuerdo,Neutral,En desacuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,De acuerdo,De acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,
17/05/2025 20:40,De acuerdo,Neutral,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Neutral,Neutral,En desacuerdo,De acuerdo,En desacuerdo,Neutral,En desacuerdo,Neutral,
04/05/2025 04:44,Totalmente de acuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,"He notado que puedo ahorrar si espero el mes adecuado, lo cual me parece razonable dadas las condiciones del mercado."
24/02/2025 12:08,Neutral,De acuerdo,Totalmente en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,
02/01/2025 22:18,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,
29/03/2025 13:11,En desacuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,Neutral,Totalmente en desacuerdo,Totalmente de acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,"Entiendo que cambien los precios según la demanda, pero no siempre es claro cuándo baja."
25/06/2025 15:37,Neutral,Neutral,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,"He notado que los precios cambian demasiado seguido, y eso me obliga a estar pendiente del calendario."
31/01/2025 22:42,Neutral,En desacuerdo,En desacuerdo,Neutral,De acuerdo,En desacuerdo,Totalmente en desacuerdo,Neutral,De acuerdo,De acuerdo,En desacuerdo,Neutral,En desacuerdo,
31/01/2025 18:12,De acuerdo,De acuerdo,Totalmente en desacuerdo,Neutral,De acuerdo,Neutral,En desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,
20/03/2025 09:25,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Neutral,Neutral,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,
20/04/2025 05:57,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,
30/04/2025 04:05,De acuerdo,Neutral,En desacuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,
13/05/2025 01:30,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,
30/05/2025 14:19,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,Neutral,Neutral,De acuerdo,Neutral,Neutral,Totalmente de acuerdo,
20/01/2025 12:58,En desacuerdo,En desacuerdo,Neutral,En desacuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,
16/04/2025 06:55,Neutral,En desacuerdo,Neutral,En desacuerdo,De acuerdo,Neutral,Neutral,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,
01/06/2025 13:03,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,Neutral,
21/03/2025 17:44,Neutral,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"El stock se agota rápido cuando bajan los precios, sería mejor si avisaran con tiempo."
29/03/2025 23:44,En desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,Neutral,En desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,"El sistema me parece útil, pero deberían evitar quedarse sin stock cuando bajan los precios."
22/03/2025 03:45,Neutral,En desacuerdo,De acuerdo,Neutral,De acuerdo,Neutral,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,
18/06/2025 11:55,De acuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Neutral,Totalmente de acuerdo,De acuerdo,Neutral,
03/02/2025 18:25,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Neutral,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,
06/05/2025 15:15,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,De acuerdo,En desacuerdo,
14/04/2025 13:39,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,Totalmente de acuerdo,
15/05/2025 12:53,Totalmente de acuerdo,Neutral,Neutral,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Neutral,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,
25/01/2025 08:36,De acuerdo,Neutral,Neutral,Neutral,De acuerdo,Neutral,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,Neutral,En desacuerdo,De acuerdo,
22/03/2025 08:36,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,"Los precios cambian demasiado seguido, y eso me ha ayudado a ahorrar en varias ocasiones."
16/06/2025 05:15,Neutral,Neutral,De acuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,
14/02/2025 05:16,De acuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,
18/03/2025 00:34,Neutral,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,
08/02/2025 04:48,De acuerdo,Neutral,Neutral,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral,Neutral,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,"Opino que la lógica de precios parece algo confusa, aunque me parece razonable dadas las condiciones del mercado."
17/02/2025 04:33,Totalmente de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,Neutral,En desacuerdo,De acuerdo,De acuerdo,Neutral,En desacuerdo,Totalmente de acuerdo,
07/01/2025 11:11,De acuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,Neutral,Neutral,En desacuerdo,En desacuerdo,Neutral,De acuerdo,En desacuerdo,De acuerdo,
15/06/2025 22:37,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,Totalmente en desacuerdo,En desacuerdo,Neutral,Neutral,Totalmente de acuerdo,De acuerdo,En desacuerdo,De acuerdo,Neutral,
17/03/2025 08:23,Neutral,Neutral,De acuerdo,En desacuerdo,Neutral,Neutral,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,"Es una alternativa viable, solo cuando se planifica y proyecta de manera apropiada la obtención de un producto y el mismo resulta ser totalmente negativo y perjudicial, cuando por suma necesidad sé requiere un bien, de manera inmediata y no se presentan buenos precios en ese instante."
13/06/2025 08:56,De acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Neutral,Neutral,Neutral,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,"Sé que en temporada alta los precios suben, por eso me organizo con tiempo para comprar lo necesario sin pagar de más"
04/04/2025 05:10,Totalmente de acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,Totalmente en desacuerdo,Neutral,Totalmente de acuerdo,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,
05/01/2025 04:51,De acuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,Neutral,De acuerdo,En desacuerdo,De acuerdo,
06/01/2025 20:06,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,De acuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,
08/06/2025 17:45,En desacuerdo,De acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,En desacuerdo,
22/03/2025 04:35,Neutral,Neutral,Totalmente en desacuerdo,En desacuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,De acuerdo,
03/06/2025 05:16,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,De acuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,
19/04/2025 21:01,Neutral,Neutral,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,Totalmente en desacuerdo,Neutral,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral,
08/03/2025 17:37,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,
26/03/2025 02:24,Neutral,En desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,Neutral,
02/06/2025 15:07,Neutral,En desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,Neutral,Neutral,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,
24/04/2025 02:32,Totalmente de acuerdo,Neutral,En desacuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,A veces varios vendedores suben precios simultáneamente antes de una promoción. Parece coordinado y el 'descuento' solo los devuelve a lo que deberían costar.
06/02/2025 14:14,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,En desacuerdo,Neutral,Neutral,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,
17/03/2025 06:58,De acuerdo,Neutral,Neutral,De acuerdo,De acuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,"Es evidente que el stock se agota rápido cuando bajan los precios, aunque sería mejor si avisaran con tiempo."
05/06/2025 05:32,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,De acuerdo,Neutral,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,
09/05/2025 12:22,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,De acuerdo,Neutral,En desacuerdo,Neutral,De acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,Neutral,
27/05/2025 04:37,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,Neutral,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,
26/03/2025 01:14,De acuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral,Neutral,De acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,
05/02/2025 05:51,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Neutral,De acuerdo,En desacuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,
08/02/2025 08:18,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,Neutral,Neutral,De acuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,
15/06/2025 01:34,En desacuerdo,Neutral,En desacuerdo,Neutral,En desacuerdo,Neutral,Neutral,Neutral,Totalmente en desacuerdo,Neutral,Neutral,Neutral,Neutral,
07/03/2025 18:07,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,
04/05/2025 18:20,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral,Neutral,De acuerdo,De acuerdo,Neutral,De acuerdo,Neutral,"Los descuentos son como oportunidades fugaces: si no actúas rápido, se esfuman. Lo curioso es que, cuando menos lo planeas, aparece esa oferta perfecta que te hace sentir que ganaste el juego del consumo."
03/05/2025 06:33,Neutral,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Neutral,En desacuerdo,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,
12/06/2025 15:46,De acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,Neutral,Neutral,Neutral,Totalmente de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,
03/03/2025 14:13,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,
17/03/2025 12:45,Neutral,Neutral,Neutral,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,
14/04/2025 10:45,En desacuerdo,En desacuerdo,De acuerdo,Neutral,Totalmente de acuerdo,Neutral,Neutral,Neutral,Totalmente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"El sistema favorece a quienes planifican, y eso me ha ayudado a ahorrar en varias ocasiones."
18/01/2025 17:53,Totalmente de acuerdo,Neutral,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Neutral,Neutral,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,"Gracias a este sistema, pude comprar un celular mucho más barato en mayo."
12/03/2025 22:57,En desacuerdo,En desacuerdo,De acuerdo,Neutral,De acuerdo,Neutral,En desacuerdo,Neutral,En desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,
05/02/2025 10:16,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,
21/04/2025 03:32,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Neutral,En desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,
29/05/2025 02:57,De acuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Neutral,
08/03/2025 09:19,Neutral,En desacuerdo,De acuerdo,En desacuerdo,Neutral,Neutral,En desacuerdo,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,
02/02/2025 21:26,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Neutral,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,"Me parece justo que bajen los precios en temporada baja, pero deberían avisarlo mejor."
01/04/2025 01:01,Totalmente de acuerdo,Neutral,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,
13/02/2025 22:11,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,De acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,"Me parece que mercado libre podría informar mejor sobre los cambios de precio, aunque a veces genera frustración."
13/05/2025 22:47,Totalmente de acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,
08/01/2025 04:37,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,A veces no entiendo por qué el mismo producto cuesta más de una semana a otra.
20/05/2025 19:49,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral,
22/03/2025 03:49,Neutral,Neutral,Neutral,En desacuerdo,De acuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,
21/03/2025 23:00,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"En Mercado Libre, el historial de precios muestra que muchos productos 'en oferta' ya costaban lo mismo hace un mes. Solo los ponen las ofertas para generar urgencia."
02/04/2025 01:34,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,Totalmente en desacuerdo,Neutral,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,
18/02/2025 00:15,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,Neutral,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,
12/02/2025 13:51,Neutral,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,
